title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
2-комнатная квартира · 58.6 м² · 9/12 этаж,34 000 000〒,"Алатауский р-н, мкр Алгабас, 1-я улица 43",2-комнатная квартира,58.6 м²,9,12,Нет,Да
2-комнатная квартира · 66 м² · 9/9 этаж,35 500 000〒,"Алатауский р-н, мкр Нуркент (Алгабас-1) 73 — Рыскулова Момышұлы",2-комнатная квартира,66 м²,9,9,Нет,Нет
2-комнатная квартира · 53 м² · 8/12 этаж,47 500 000〒,"Алатауский р-н, мкр Гажайып 5/4",2-комнатная квартира,53 м²,8,12,Нет,Да
1-комнатная квартира · 30 м² · 5/5 этаж,17 500 000〒,"Алатауский р-н, мкр Саялы 33 — ул Аркалык 33",1-комнатная квартира,30 м²,5,5,Нет,Нет
3-комнатная квартира · 73.4 м² · 12/12 этаж,37 600 000〒,"Алатауский р-н, Дарабоз",3-комнатная квартира,73.4 м²,12,12,Нет,Да
2-комнатная квартира · 55 м² · 5/9 этаж,33 000 000〒,"Алатауский р-н, Нуркент 5/9",2-комнатная квартира,55 м²,5,9,Нет,Да
3-комнатная квартира · 90 м² · 2/9 этаж,44 990 000〒,"Алатауский р-н, мкр Ожет, Северное Кольцо 92",3-комнатная квартира,90 м²,2,9,Нет,Да
2-комнатная квартира · 51 м² · 1/9 этаж,31 000 000〒,"Алатауский р-н, мкр Нуркент (Алгабас-1), Б. Момышулы",2-комнатная квартира,51 м²,1,9,Нет,Да
4-комнатная квартира · 123.8 м² · 4/5 этаж,53 500 000〒,"Алатауский р-н, Момышулы 22",4-комнатная квартира,123.8 м²,4,5,Нет,Да
2-комнатная квартира · 50 м² · 2/5 этаж,32 500 000〒,"Алатауский р-н, Саина",2-комнатная квартира,50 м²,2,5,Нет,Да
2-комнатная квартира · 51.11 м² · 2/5 этаж,26 000 000〒,"Алатауский р-н, мкр Коккайнар, 20-й микрорайон 46 к19",2-комнатная квартира,51.11 м²,2,5,Нет,Да
2-комнатная квартира · 58.8 м² · 5/12 этаж,36 600 000〒,"Алатауский р-н, Дарабоз",2-комнатная квартира,58.8 м²,5,12,Нет,Да
3-комнатная квартира · 90 м² · 3/9 этаж,48 500 000〒,"Алатауский р-н, Северное Кольцо 92/6 блок 5",3-комнатная квартира,90 м²,3,9,Нет,Да
1-комнатная квартира · 45.4 м² · 1/5 этаж,21 600 000〒,"Алатауский р-н, Басаркобыз 1/15 — Саина - Мөңке би",1-комнатная квартира,45.4 м²,1,5,Нет,Нет
3-комнатная квартира · 84.4 м² · 1/12 этаж,65 800 000〒,"Алатауский р-н, Райымбека 351/2 корпус 3 — Райымбек - петрова",3-комнатная квартира,84.4 м²,1,12,Нет,Да
2-комнатная квартира · 58 м² · 12/12 этаж,33 200 000〒,"Алатауский р-н, мкр Акбулак, Байтерекова",2-комнатная квартира,58 м²,12,12,Нет,Да
1-комнатная квартира · 39 м² · 3/14 этаж,26 000 000〒,"Алатауский р-н, мкр Нуркент (Алгабас-1), Б. Момышулы 5/12",1-комнатная квартира,39 м²,3,14,Нет,Да
1-комнатная квартира · 45 м² · 5/9 этаж,23 500 000〒,"Алатауский р-н, мкр Зердели (Алгабас-6) 1/181",1-комнатная квартира,45 м²,5,9,Нет,Нет
3-комнатная квартира · 63 м² · 7/12 этаж,44 500 000〒,"Алатауский р-н, Райымбека — Тлендиева",3-комнатная квартира,63 м²,7,12,Нет,Да
1-комнатная квартира · 41.5 м² · 3/3 этаж,21 000 000〒,"Алатауский р-н, мкр Заря Востока, Красноармейская — Бердекулова",1-комнатная квартира,41.5 м²,3,3,Нет,Нет
1-комнатная квартира · 42 м² · 3/3 этаж,24 600 000〒,"Алатауский р-н, Улица Үстірт",1-комнатная квартира,42 м²,3,3,Нет,Нет
3-комнатная квартира · 67 м² · 3/14 этаж,35 000 000〒,"Алатауский р-н, мкр Нуркент (Алгабас-1) 5/13",3-комнатная квартира,67 м²,3,14,Нет,Нет
