title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
2-комнатная квартира · 83 м² · 1/15 этаж,38 900 000〒,"Алмалинский р-н, мкр Тастак-2, Төле би — Напротив парка Сайран",2-комнатная квартира,83 м²,1,15,Нет,Нет
3-комнатная квартира · 74.4 м² · 5/9 этаж,58 000 000〒,"Алмалинский р-н, Карасай батыра 156 — Ауэзова",3-комнатная квартира,74.4 м²,5,9,Нет,Нет
3-комнатная квартира · 63.7 м² · 5/5 этаж,41 000 000〒,"Алмалинский р-н, мкр Тастак-2 — Тлендиева Дуйсенова",3-комнатная квартира,63.7 м²,5,5,Нет,Нет
4-комнатная квартира · 130 м² · 16/16 этаж,110 000 000〒,"Алмалинский р-н, проспект Абая 165 — Тургут Озала",4-комнатная квартира,130 м²,16,16,Нет,Да
1-комнатная квартира · 40.1 м² · 9/9 этаж,31 000 000〒,"Алмалинский р-н, мкр Тастак-3, Прокофьева 16 — Толе би",1-комнатная квартира,40.1 м²,9,9,Нет,Нет
1-комнатная квартира · 29 м² · 9/17 этаж,21 500 000〒,"Алмалинский р-н, Ауэзова 2А",1-комнатная квартира,29 м²,9,17,Нет,Да
3-комнатная квартира · 63 м² · 13/13 этаж,44 500 000〒,"Алмалинский р-н, Муратбаева 14/6",3-комнатная квартира,63 м²,13,13,Нет,Да
3-комнатная квартира · 64 м² · 1/5 этаж,48 000 000〒,"Алмалинский р-н, Наурызбай батыр 22",3-комнатная квартира,64 м²,1,5,Нет,Нет
1-комнатная квартира · 44 м² · 2/5 этаж,39 000 000〒,"Алмалинский р-н, Байтурсынова — Шевченко Байтурсынова",1-комнатная квартира,44 м²,2,5,Нет,Нет
2-комнатная квартира · 47 м² · 9/14 этаж,67 500 000〒,"Алмалинский р-н, Манаса 109а — Абая",2-комнатная квартира,47 м²,9,14,Нет,Да
3-комнатная квартира · 65 м² · 2/13 этаж,37 000 000〒,"Алмалинский р-н, Макатаева 127/25 — Муратбаева",3-комнатная квартира,65 м²,2,13,Нет,Да
2-комнатная квартира · 48.88 м² · 7/16 этаж,31 000 000〒,"Алмалинский р-н, Ауэзова 2/8",2-комнатная квартира,48.88 м²,7,16,Нет,Да
2-комнатная квартира · 76.7 м² · 13/18 этаж,48 000 000〒,"Алмалинский р-н, Брусиловского 167 — Шакарима",2-комнатная квартира,76.7 м²,13,18,Нет,Да
4-комнатная квартира · 130.6 м² · 3/12 этаж,133 000 000〒,"Алмалинский р-н, Абая 165 — Тургут Озала",4-комнатная квартира,130.6 м²,3,12,Нет,Да
1-комнатная квартира · 31 м² · 1/5 этаж,26 500 000〒,"Алмалинский р-н, Желтоксан — Ул Маметова",1-комнатная квартира,31 м²,1,5,Нет,Нет
3-комнатная квартира · 85 м² · 1/5 этаж,65 000 000〒,"Алмалинский р-н, Шагабудинова 30 — Гоголя",3-комнатная квартира,85 м²,1,5,Нет,Нет
2-комнатная квартира · 47 м² · 10/10 этаж,41 500 000〒,"Алмалинский р-н, Райымбека 174/2 — ТРЦ Mega Park",2-комнатная квартира,47 м²,10,10,Нет,Да
1-комнатная квартира · 35 м² · 5/5 этаж,26 500 000〒,"Алмалинский р-н, Айманова — Толе би",1-комнатная квартира,35 м²,5,5,Нет,Нет
3-комнатная квартира · 73.6 м² · 13/13 этаж,49 500 000〒,"Алмалинский р-н, Толе би 189/3",3-комнатная квартира,73.6 м²,13,13,Нет,Да
2-комнатная квартира · 68.8 м² · 2/12 этаж,64 000 000〒,"Алмалинский р-н, Ислама Карима 203 — Тургут Озала",2-комнатная квартира,68.8 м²,2,12,Нет,Да
3-комнатная квартира · 50.6 м² · 6/13 этаж,46 500 000〒,"Алмалинский р-н, Варламова 1/3",3-комнатная квартира,50.6 м²,6,13,Нет,Да
3-комнатная квартира · 89.6 м² · 3/4 этаж,96 000 000〒,"Алмалинский р-н, Чайковского 190",3-комнатная квартира,89.6 м²,3,4,Нет,Нет
2-комнатная квартира · 43 м² · 2/12 этаж,48 000 000〒,"Алмалинский р-н, Шарипова 100",2-комнатная квартира,43 м²,2,12,Нет,Да
2-комнатная квартира · 60 м² · 13/20 этаж,36 000 000〒,"Алмалинский р-н, Брусиловского 163",2-комнатная квартира,60 м²,13,20,Нет,Да
2-комнатная квартира · 45 м² · 10/13 этаж,33 500 000〒,"Алмалинский р-н, Муратбаева 14/8 — Райымбека",2-комнатная квартира,45 м²,10,13,Нет,Да
2-комнатная квартира · 88 м² · 3/18 этаж,64 000 000〒,"Алмалинский р-н, Брусиловского 163",2-комнатная квартира,88 м²,3,18,Нет,Да
3-комнатная квартира · 64 м² · 1/4 этаж,36 000 000〒,"Алмалинский р-н, мкр Тастак-2, Бородина — Тлендиева - Райымбека",3-комнатная квартира,64 м²,1,4,Нет,Нет
2-комнатная квартира · 53 м² · 4/5 этаж,43 000 000〒,"Алмалинский р-н, Байзакова 116 — Гоголя",2-комнатная квартира,53 м²,4,5,Нет,Нет
3-комнатная квартира · 90 м² · 4/12 этаж,57 000 000〒,"Алмалинский р-н, мкр Тастак-2, Толе би",3-комнатная квартира,90 м²,4,12,Нет,Да
2-комнатная квартира · 54 м² · 5/5 этаж,35 500 000〒,"Алмалинский р-н, мкр Тастак-2, Прокфьева — Толеби тлендиева",2-комнатная квартира,54 м²,5,5,Нет,Нет
3-комнатная квартира · 86.2 м² · 3/5 этаж,125 000 000〒,"Алмалинский р-н, Желтоксан 129/65 — Кабанбай-батыра",3-комнатная квартира,86.2 м²,3,5,Нет,Нет
3-комнатная квартира · 75 м² · 8/9 этаж,52 500 000〒,"Алмалинский р-н, мкр Тастак-2 — Толе би-Тлендиева",3-комнатная квартира,75 м²,8,9,Нет,Нет
3-комнатная квартира · 85.2 м² · 2/5 этаж,78 000 000〒,"Алмалинский р-н, Панфилова 75",3-комнатная квартира,85.2 м²,2,5,Нет,Нет
2-комнатная квартира · 66.2 м² · 17/18 этаж,40 000 000〒,"Алмалинский р-н, Брусиловского 167",2-комнатная квартира,66.2 м²,17,18,Нет,Да
2-комнатная квартира · 43.3 м² · 3/4 этаж,40 000 000〒,"Алмалинский р-н, Наурызбай батыра — Толе би",2-комнатная квартира,43.3 м²,3,4,Нет,Нет
1-комнатная квартира · 34 м² · 2/4 этаж,29 500 000〒,"Алмалинский р-н, Кабанбай батыра 137 — Муратбаева",1-комнатная квартира,34 м²,2,4,Нет,Нет
1-комнатная квартира · 40 м² · 8/8 этаж,34 000 000〒,"Алмалинский р-н, Сейфуллина 567/93 — Жамбыла",1-комнатная квартира,40 м²,8,8,Нет,Нет
3-комнатная квартира · 68 м² · 11/13 этаж,36 000 000〒,"Алмалинский р-н, Муратбаева",3-комнатная квартира,68 м²,11,13,Нет,Да
2-комнатная квартира · 45.12 м² · 11/13 этаж,28 000 000〒,"Алмалинский р-н, Муратбаева — Пр. Райымбека - Муратбаева",2-комнатная квартира,45.12 м²,11,13,Нет,Да
2-комнатная квартира · 48.1 м² · 7/13 этаж,35 000 000〒,"Алмалинский р-н, Толе би 189/3 — Толе би Жарокова - снижение цены",2-комнатная квартира,48.1 м²,7,13,Нет,Да
2-комнатная квартира · 54 м² · 12/13 этаж,45 000 000〒,"Алмалинский р-н, мкр Тастак-2, Варламова 1/3 — ул. Варламова уг. Карасай батыра",2-комнатная квартира,54 м²,12,13,Нет,Да
2-комнатная квартира · 34 м² · 2/12 этаж,35 000 000〒,"Алмалинский р-н, Райымбека 210",2-комнатная квартира,34 м²,2,12,Нет,Нет
2-комнатная квартира · 69.4 м² · 2/19 этаж,38 000 000〒,"Алмалинский р-н, Брусиловского — Толе би - Брусиловского",2-комнатная квартира,69.4 м²,2,19,Нет,Да
2-комнатная квартира · 69 м² · 12/12 этаж,66 900 000〒,"Алмалинский р-н, проспект Абая 165 — Тургут Озала",2-комнатная квартира,69 м²,12,12,Нет,Да
1-комнатная квартира · 45 м² · 5/5 этаж,28 500 000〒,"Алмалинский р-н, Богенбай батыра 313 — Аносова",1-комнатная квартира,45 м²,5,5,Нет,Нет
2-комнатная квартира · 47 м² · 12/12 этаж,45 000 000〒,"Алмалинский р-н, Торекулова 95/1 — Возле ТРЦ Mega Park",2-комнатная квартира,47 м²,12,12,Нет,Да
2-комнатная квартира · 64 м² · 16/19 этаж,40 000 000〒,"Алмалинский р-н, Брусиловского 167",2-комнатная квартира,64 м²,16,19,Нет,Да
1-комнатная квартира · 19 м² · 4/5 этаж,18 000 000〒,"Алмалинский р-н, Жамбыл",1-комнатная квартира,19 м²,4,5,Нет,Нет
1-комнатная квартира · 42 м² · 8/9 этаж,36 000 000〒,"Алмалинский р-н, Шевченко — Шевченко-Розыбакиева",1-комнатная квартира,42 м²,8,9,Нет,Нет
1-комнатная квартира · 41.2 м² · 4/15 этаж,53 500 000〒,"Алмалинский р-н, Манаса",1-комнатная квартира,41.2 м²,4,15,Нет,Да
3-комнатная квартира · 75.3 м² · 3/4 этаж,49 900 000〒,"Алмалинский р-н, Богенбай батыра 229",3-комнатная квартира,75.3 м²,3,4,Нет,Нет
2-комнатная квартира · 59.9 м² · 7/13 этаж,56 500 000〒,"Алмалинский р-н, Кабанбай батыра 252",2-комнатная квартира,59.9 м²,7,13,Нет,Да
2-комнатная квартира · 82 м² · 10/10 этаж,99 500 000〒,"Алмалинский р-н, Курмангазы 97",2-комнатная квартира,82 м²,10,10,Нет,Да
3-комнатная квартира · 115.5 м² · 12/12 этаж,105 000 000〒,"Алмалинский р-н, НаурызбайБатыра 50 — Жибек Жолы",3-комнатная квартира,115.5 м²,12,12,Нет,Да
2-комнатная квартира · 72.4 м² · 16/18 этаж,45 000 000〒,"Алмалинский р-н, Брусиловского 167",2-комнатная квартира,72.4 м²,16,18,Нет,Да
2-комнатная квартира · 55 м² · 5/5 этаж,38 500 000〒,"Алмалинский р-н, Карасай батыра — Ауэзова",2-комнатная квартира,55 м²,5,5,Нет,Нет
1-комнатная квартира · 42 м² · 4/10 этаж,24 500 000〒,"Алмалинский р-н, Райымбека",1-комнатная квартира,42 м²,4,10,Нет,Нет
1-комнатная квартира · 31 м² · 4/5 этаж,32 000 000〒,"Алмалинский р-н, Жарокова 39 — Жамбыла",1-комнатная квартира,31 м²,4,5,Нет,Нет
2-комнатная квартира · 45.6 м² · 9/12 этаж,46 000 000〒,"Алмалинский р-н, Сейфулина 469а​",2-комнатная квартира,45.6 м²,9,12,Нет,Да
2-комнатная квартира · 52.5 м² · 4/5 этаж,40 000 000〒,"Алмалинский р-н, мкр Тастак-2, Тлендиева 59 — Толе би Тлендиева",2-комнатная квартира,52.5 м²,4,5,Нет,Нет
1-комнатная квартира · 43 м² · 2/5 этаж,28 500 000〒,"Алмалинский р-н, Чайковского 21",1-комнатная квартира,43 м²,2,5,Нет,Нет
2-комнатная квартира · 71 м² · 15/21 этаж,59 000 000〒,"Алмалинский р-н, Варламова 27a",2-комнатная квартира,71 м²,15,21,Нет,Да
3-комнатная квартира · 76 м² · 3/5 этаж,80 000 000〒,"Алмалинский р-н, Ауэзова 69 — Шевченко",3-комнатная квартира,76 м²,3,5,Нет,Нет
3-комнатная квартира · 131 м² · 10/15 этаж,66 500 000〒,"Алмалинский р-н, Толе би 273/4 — Напротив Сайрана",3-комнатная квартира,131 м²,10,15,Нет,Да
2-комнатная квартира · 42.6 м² · 1/4 этаж,33 500 000〒,"Алмалинский р-н, Наурызбай батыра 26/1",2-комнатная квартира,42.6 м²,1,4,Нет,Нет
1-комнатная квартира · 40.3 м² · 6/9 этаж,28 000 000〒,"Алмалинский р-н, мкр Тастак-2 257 — Толе би Тлендиева",1-комнатная квартира,40.3 м²,6,9,Нет,Нет
2-комнатная квартира · 105 м² · 17/18 этаж,62 000 000〒,"Алмалинский р-н, Брусиловского — С Паркингом",2-комнатная квартира,105 м²,17,18,Нет,Да
3-комнатная квартира · 58.5 м² · 2/5 этаж,38 000 000〒,"Алмалинский р-н, мкр Тастак-2 29",3-комнатная квартира,58.5 м²,2,5,Нет,Нет
2-комнатная квартира · 61 м² · 8/13 этаж,42 700 000〒,"Алмалинский р-н, Толе би 189 — Жарокова",2-комнатная квартира,61 м²,8,13,Нет,Да
2-комнатная квартира · 75.5 м² · 4/7 этаж,59 000 000〒,"Алмалинский р-н, Гоголя 77 — Назарбаева",2-комнатная квартира,75.5 м²,4,7,Нет,Нет
1-комнатная квартира · 35.4 м² · 5/5 этаж,45 000 000〒,"Алмалинский р-н, Чайковского 129 — Желтоксан Жамбыла",1-комнатная квартира,35.4 м²,5,5,Нет,Нет
3-комнатная квартира · 120 м² · 10/20 этаж,70 000 000〒,"Алмалинский р-н, Брусиловского 163 — Брусиловского-Кулымбетова",3-комнатная квартира,120 м²,10,20,Нет,Да
2-комнатная квартира · 74 м² · 15/19 этаж,40 000 000〒,"Алмалинский р-н, мкр Тастак-2, Брусиловского 159",2-комнатная квартира,74 м²,15,19,Нет,Да
2-комнатная квартира · 72.1 м² · 9/10 этаж,69 900 000〒,"Алмалинский р-н, Айтеке Би 123/1 — Угол Досмухамедова",2-комнатная квартира,72.1 м²,9,10,Нет,Да
1-комнатная квартира · 16 м² · 3/4 этаж,11 000 000〒,"Алмалинский р-н, Абылай хана — Райымбек батыра",1-комнатная квартира,16 м²,3,4,Нет,Нет
2-комнатная квартира · 48 м² · 7/12 этаж,46 500 000〒,"Алмалинский р-н, Сейфулина 469а​",2-комнатная квартира,48 м²,7,12,Нет,Да
4-комнатная квартира · 149.2 м² · 3/8 этаж,200 000 000〒,"Алмалинский р-н, Кашгарская 69/102 — Курмангазы-Байтурсынова",4-комнатная квартира,149.2 м²,3,8,Нет,Да
4-комнатная квартира · 142 м² · 5/10 этаж,199 000 000〒,"Алмалинский р-н, Курмангазы 97",4-комнатная квартира,142 м²,5,10,Нет,Да
2-комнатная квартира · 63 м² · 5/5 этаж,48 000 000〒,"Алмалинский р-н, Казбекби 172 — Нурмакова",2-комнатная квартира,63 м²,5,5,Нет,Нет
1-комнатная квартира · 35 м² · 2/5 этаж,32 000 000〒,"Алмалинский р-н, Ауезова — Уг улицы Шевченко",1-комнатная квартира,35 м²,2,5,Нет,Нет
1-комнатная квартира · 30 м² · 2/15 этаж,25 500 000〒,"Алмалинский р-н, мкр Тастак-2, Толе би — Евро 1 комн, окончательная цена",1-комнатная квартира,30 м²,2,15,Нет,Да
2-комнатная квартира · 46 м² · 2/5 этаж,39 000 000〒,"Алмалинский р-н, мкр Тастак-2, Байзакова 127 — Между Гоголя и Толеби",2-комнатная квартира,46 м²,2,5,Нет,Нет
3-комнатная квартира · 67 м² · 2/5 этаж,47 000 000〒,"Алмалинский р-н, Гагарина — Богенбай батыра",3-комнатная квартира,67 м²,2,5,Нет,Нет
2-комнатная квартира · 72.4 м² · 8/18 этаж,40 500 000〒,"Алмалинский р-н, Брусиловского 159 — Кулымбетова",2-комнатная квартира,72.4 м²,8,18,Нет,Нет
2-комнатная квартира · 37.6 м² · 4/4 этаж,26 500 000〒,"Алмалинский р-н, мкр Тастак-3, Карасай батыра 237а — Розыбакиева",2-комнатная квартира,37.6 м²,4,4,Нет,Нет
3-комнатная квартира · 87 м² · 4/6 этаж,94 000 000〒,"Алмалинский р-н, Досмухамедова — ул Гоголя",3-комнатная квартира,87 м²,4,6,Нет,Да
2-комнатная квартира · 89 м² · 11/15 этаж,60 000 000〒,"Алмалинский р-н, мкр Тастак-2, Толе би 286/5 — Толе би -Варламова",2-комнатная квартира,89 м²,11,15,Нет,Да
4-комнатная квартира · 73.9 м² · 4/4 этаж,55 000 000〒,"Алмалинский р-н, Айтеке Би — Нурмакова",4-комнатная квартира,73.9 м²,4,4,Нет,Нет
