title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
2-комнатная квартира · 47 м² · 12/15 этаж,42 500 000〒,"Ауэзовский р-н, мкр Сайран, Утеген батыра",2-комнатная квартира,47 м²,12,15,Нет,Да
1-комнатная квартира · 43 м² · 8/9 этаж,36 000 000〒,"Ауэзовский р-н, Утеген батыра 11",1-комнатная квартира,43 м²,8,9,Нет,Да
3-комнатная квартира · 104.5 м² · 12/16 этаж,58 000 000〒,"Ауэзовский р-н, Навои 9/1",3-комнатная квартира,104.5 м²,12,16,Нет,Да
2-комнатная квартира · 72.6 м² · 12/17 этаж,57 000 000〒,"Ауэзовский р-н, мкр Мамыр-1 — За ТРЦ Спутник",2-комнатная квартира,72.6 м²,12,17,Нет,Да
2-комнатная квартира · 60 м² · 3/13 этаж,46 800 000〒,"Ауэзовский р-н, Кабдолова — Уг Алтынсарина",2-комнатная квартира,60 м²,3,13,Нет,Да
3-комнатная квартира · 102.6 м² · 1/9 этаж,76 000 000〒,"Ауэзовский р-н, Токтабаева 13 — Таугуль-1, 13",3-комнатная квартира,102.6 м²,1,9,Нет,Да
3-комнатная квартира · 94 м² · 8/9 этаж,57 500 000〒,"Ауэзовский р-н, мкр Мамыр-4 314 — Шаляпина Саина",3-комнатная квартира,94 м²,8,9,Нет,Нет
4-комнатная квартира · 168 м² · 5/6 этаж,80 000 000〒,"Ауэзовский р-н, мкр Мамыр-3",4-комнатная квартира,168 м²,5,6,Нет,Нет
3-комнатная квартира · 65 м² · 1/5 этаж,41 000 000〒,"Ауэзовский р-н, мкр Таугуль — Школа N 127",3-комнатная квартира,65 м²,1,5,Нет,Нет
2-комнатная квартира · 56.6 м² · 1/13 этаж,45 000 000〒,"Ауэзовский р-н, Кабдолова",2-комнатная квартира,56.6 м²,1,13,Нет,Да
3-комнатная квартира · 72.2 м² · 11/12 этаж,40 000 000〒,"Ауэзовский р-н, мкр Аксай-1 — Толе би - Саина",3-комнатная квартира,72.2 м²,11,12,Нет,Нет
2-комнатная квартира · 44 м² · 4/4 этаж,28 500 000〒,"Ауэзовский р-н, мкр №10 8 — Кима Алтынсарина",2-комнатная квартира,44 м²,4,4,Нет,Нет
2-комнатная квартира · 58 м² · 6/6 этаж,31 000 000〒,"Ауэзовский р-н, Аксай 4 16б",2-комнатная квартира,58 м²,6,6,Нет,Нет
3-комнатная квартира · 58.3 м² · 4/4 этаж,38 900 000〒,"Ауэзовский р-н, мкр №8 22",3-комнатная квартира,58.3 м²,4,4,Нет,Нет
2-комнатная квартира · 50.1 м² · 5/5 этаж,30 000 000〒,"Ауэзовский р-н, мкр Аксай-3Б 34",2-комнатная квартира,50.1 м²,5,5,Нет,Нет
4-комнатная квартира · 140 м² · 2/14 этаж,95 000 000〒,"Ауэзовский р-н, Навои",4-комнатная квартира,140 м²,2,14,Нет,Да
3-комнатная квартира · 91 м² · 2/9 этаж,100 000 000〒,"Ауэзовский р-н, мкр Таугуль-1, Сулейменова 18 — Дежнева пятницкого",3-комнатная квартира,91 м²,2,9,Нет,Нет
2-комнатная квартира · 69 м² · 4/10 этаж,48 000 000〒,"Ауэзовский р-н, мкр Таугуль-2 37 — Навои Черепанова",2-комнатная квартира,69 м²,4,10,Нет,Нет
3-комнатная квартира · 110.7 м² · 15/16 этаж,90 000 000〒,"Ауэзовский р-н, мкр Сайран, Утеген батыра 11Г — Толе би",3-комнатная квартира,110.7 м²,15,16,Нет,Да
3-комнатная квартира · 60 м² · 4/4 этаж,33 499 999〒,"Ауэзовский р-н, мкр №1 45 — Алтынсарин Улугбека",3-комнатная квартира,60 м²,4,4,Нет,Нет
1-комнатная квартира · 54 м² · 14/16 этаж,37 000 000〒,"Ауэзовский р-н, Мамыр-1 29/4",1-комнатная квартира,54 м²,14,16,Нет,Да
3-комнатная квартира · 57.8 м² · 3/4 этаж,36 000 000〒,"Ауэзовский р-н, мкр №1 29",3-комнатная квартира,57.8 м²,3,4,Нет,Нет
3-комнатная квартира · 86 м² · 6/10 этаж,77 000 000〒,"Ауэзовский р-н, Навои 58/1 — Навои Жандосова",3-комнатная квартира,86 м²,6,10,Нет,Да
2-комнатная квартира · 44 м² · 3/4 этаж,30 000 000〒,"Ауэзовский р-н, мкр №2 24",2-комнатная квартира,44 м²,3,4,Нет,Нет
2-комнатная квартира · 42 м² · 5/5 этаж,32 000 000〒,"Ауэзовский р-н, мкр Таугуль 39",2-комнатная квартира,42 м²,5,5,Нет,Нет
