title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
3-комнатная квартира · 109.7 м² · 2/3 этаж,98 000 000〒,"Бостандыкский р-н, мкр Ерменсай, Арайлы",3-комнатная квартира,109.7 м²,2,3,Нет,Да
2-комнатная квартира · 51.1 м² · 9 этаж,38 000 000〒,"Бостандыкский р-н, Жандосова 94А — Тимирязева",2-комнатная квартира,51.1 м²,,,Нет,Да
3-комнатная квартира · 122.8 м² · 7/8 этаж,185 000 000〒,"Бостандыкский р-н, Радостовца 333",3-комнатная квартира,122.8 м²,7,8,Нет,Да
2-комнатная квартира · 55 м² · 6/17 этаж,46 900 000〒,"Бостандыкский р-н, Жандосова — Басенова",2-комнатная квартира,55 м²,6,17,Нет,Да
3-комнатная квартира · 65 м² · 1/3 этаж,60 000 000〒,"Бостандыкский р-н, мкр Мирас, Мкр Рахат, Култобе 12",3-комнатная квартира,65 м²,1,3,Нет,Нет
3-комнатная квартира · 100 м² · 12/16 этаж,96 000 000〒,"Бостандыкский р-н, Сатпаева — АДК",3-комнатная квартира,100 м²,12,16,Нет,Да
2-комнатная квартира · 43.9 м² · 2/4 этаж,38 000 000〒,"Бостандыкский р-н, Байтұрсынова 169",2-комнатная квартира,43.9 м²,2,4,Нет,Нет
1-комнатная квартира · 55.45 м² · 4/9 этаж,55 000 000〒,"Бостандыкский р-н, 118 6",1-комнатная квартира,55.45 м²,4,9,Нет,Да
4-комнатная квартира · 100 м² · 5/5 этаж,71 000 000〒,"Бостандыкский р-н, Сатпаева 56 — Айманова",4-комнатная квартира,100 м²,5,5,Нет,Нет
3-комнатная квартира · 105.3 м² · 5/13 этаж,86 900 000〒,"Бостандыкский р-н, Ходжанова 77/5 — проспект Аль-Фараби",3-комнатная квартира,105.3 м²,5,13,Нет,Да
2-комнатная квартира · 58 м² · 2/3 этаж,48 500 000〒,"Бостандыкский р-н, Мкрн. Нурлытау 932",2-комнатная квартира,58 м²,2,3,Нет,Да
1-комнатная квартира · 40 м² · 3/9 этаж,36 000 000〒,"Бостандыкский р-н, проспект Аль-Фараби — Навои",1-комнатная квартира,40 м²,3,9,Нет,Нет
3-комнатная квартира · 54 м² · 2/2 этаж,36 500 000〒,"Бостандыкский р-н, бульвар Бухар жырау — бульвар Бухар жырау Байтурсынова",3-комнатная квартира,54 м²,2,2,Нет,Нет
1-комнатная квартира · 31.5 м² · 11/13 этаж,28 500 000〒,"Бостандыкский р-н, Журавлева 26",1-комнатная квартира,31.5 м²,11,13,Нет,Да
2-комнатная квартира · 51.9 м² · 9/17 этаж,50 000 000〒,"Бостандыкский р-н, Жандосова 94А",2-комнатная квартира,51.9 м²,9,17,Нет,Да
4-комнатная квартира · 149 м² · 8/16 этаж,119 900 000〒,"Бостандыкский р-н, мкр Керемет — Тимирязева Сейфулина",4-комнатная квартира,149 м²,8,16,Нет,Нет
1-комнатная квартира · 40.8 м² · 3/9 этаж,33 000 000〒,"Бостандыкский р-н, мкр Алмагуль 45 — Жарокова/Левитана",1-комнатная квартира,40.8 м²,3,9,Нет,Нет
3-комнатная квартира · 97.7 м² · 14/16 этаж,96 000 000〒,"Бостандыкский р-н, Гагарина 233",3-комнатная квартира,97.7 м²,14,16,Нет,Да
2-комнатная квартира · 44.4 м² · 20/20 этаж,43 000 000〒,"Бостандыкский р-н, мкр Алмагуль, Гагарина 310 — Блок 5",2-комнатная квартира,44.4 м²,20,20,Нет,Да
3-комнатная квартира · 68 м² · 2/5 этаж,61 000 000〒,"Бостандыкский р-н, Вахтангова 21 — Тимирязева Жандосова",3-комнатная квартира,68 м²,2,5,Нет,Нет
3-комнатная квартира · 91 м² · 1/3 этаж,110 000 000〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик), Розажаманова 118",3-комнатная квартира,91 м²,1,3,Нет,Да
4-комнатная квартира · 112 м² · 7/16 этаж,73 999 999〒,"Бостандыкский р-н, Жандосова 94А — Розабакиева уг Утепова",4-комнатная квартира,112 м²,7,16,Нет,Да
3-комнатная квартира · 94 м² · 19/21 этаж,72 999 999〒,"Бостандыкский р-н, Гагарина 133Б",3-комнатная квартира,94 м²,19,21,Нет,Да
4-комнатная квартира · 129 м² · 10/13 этаж,120 000 000〒,"Бостандыкский р-н, Минина 24",4-комнатная квартира,129 м²,10,13,Нет,Да
2-комнатная квартира · 56 м² · 6/12 этаж,53 500 000〒,"Бостандыкский р-н, Торайгырова 19 — Мустафина",2-комнатная квартира,56 м²,6,12,Нет,Да
2-комнатная квартира · 54.5 м² · 2/3 этаж,50 000 000〒,"Бостандыкский р-н, мкр Нур Алатау, 13-я 138/2 — Салыкова",2-комнатная квартира,54.5 м²,2,3,Нет,Да
4-комнатная квартира · 122.5 м² · 7/12 этаж,159 250 000〒,"Бостандыкский р-н, Минина 10",4-комнатная квартира,122.5 м²,7,12,Нет,Да
