title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
2-комнатная квартира · 61 м² · 5/12 этаж,62 800 000〒,"Медеуский р-н, Достык 69 — Шевченко",2-комнатная квартира,61 м²,5,12,Нет,Нет
3-комнатная квартира · 160 м² · 7/7 этаж,145 000 000〒,"Медеуский р-н, Кажымукана",3-комнатная квартира,160 м²,7,7,Нет,Да
4-комнатная квартира · 102 м² · 5/5 этаж,92 000 000〒,"Медеуский р-н, Богенбай батыра — Пушкина",4-комнатная квартира,102 м²,5,5,Нет,Нет
2-комнатная квартира · 45 м² · 3/5 этаж,78 000 000〒,"Медеуский р-н, мкр Коктобе, Сагадат Нурмагамбетова 138/2",2-комнатная квартира,45 м²,3,5,Нет,Да
3-комнатная квартира · 118 м² · 4/5 этаж,66 000 000〒,"Медеуский р-н, мкр Думан-2 17",3-комнатная квартира,118 м²,4,5,Нет,Да
2-комнатная квартира · 49.9 м² · 10/16 этаж,48 000 000〒,"Медеуский р-н, Назарбаева 36/1",2-комнатная квартира,49.9 м²,10,16,Нет,Да
2-комнатная квартира · 69 м² · 3/4 этаж,135 000 000〒,"Медеуский р-н, Жамакаева 252 — Р. Есентай",2-комнатная квартира,69 м²,3,4,Нет,Да
3-комнатная квартира · 59 м² · 4/4 этаж,36 000 000〒,"Медеуский р-н, Достык 107/2",3-комнатная квартира,59 м²,4,4,Нет,Нет
3-комнатная квартира · 114 м² · 2/5 этаж,61 000 000〒,"Медеуский р-н, мкр Думан-2",3-комнатная квартира,114 м²,2,5,Нет,Нет
2-комнатная квартира · 80 м² · 4/8 этаж,74 000 000〒,"Медеуский р-н, Омаровой 31",2-комнатная квартира,80 м²,4,8,Нет,Да
3-комнатная квартира · 114 м² · 3/6 этаж,88 500 000〒,"Медеуский р-н, мкр Горный Гигант, Шукшина 71 — Шукшина - Жамакаева",3-комнатная квартира,114 м²,3,6,Нет,Нет
1-комнатная квартира · 52 м² · 5/5 этаж,34 700 000〒,"Медеуский р-н, мкр Думан-2 27",1-комнатная квартира,52 м²,5,5,Нет,Да
3-комнатная квартира · 76 м² · 9/12 этаж,77 000 000〒,"Медеуский р-н, Баишева 28/2 — Жангельдина - Янушкевича",3-комнатная квартира,76 м²,9,12,Нет,Да
3-комнатная квартира · 85.5 м² · 7/9 этаж,88 000 000〒,"Медеуский р-н, Назарбаева 36 к3 — Назарбаева/Маметова",3-комнатная квартира,85.5 м²,7,9,Нет,Да
1-комнатная квартира · 39.8 м² · 9/9 этаж,24 000 000〒,"Медеуский р-н, мкр Атырау, Кульджинский тракт 16/20",1-комнатная квартира,39.8 м²,9,9,Нет,Да
4-комнатная квартира · 200 м² · 1/3 этаж,298 000 000〒,"Медеуский р-н, Жамакаева 252",4-комнатная квартира,200 м²,1,3,Нет,Да
2-комнатная квартира · 49 м² · 3/9 этаж,19 071 000〒,"Медеуский р-н, мкр Думан-2, Райымбек батыра 272 — Талгарский тракт",2-комнатная квартира,49 м²,3,9,Нет,Нет
4-комнатная квартира · 116 м² · 1/3 этаж,180 000 000〒,"Медеуский р-н, мкр Тау Самал, Аль- Фараби",4-комнатная квартира,116 м²,1,3,Нет,Да
