title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
1-комнатная квартира · 38.9 м² · 13/13 этаж,31 000 000〒,"Жетысуский р-н, Есенова 160/3 — Есенова-Баянаульская",1-комнатная квартира,38.9 м²,13,13,Нет,Да
2-комнатная квартира · 44 м² · 2/3 этаж,28 000 000〒,"Жетысуский р-н, Пр. Рыскулова 35 — Жансугурова",2-комнатная квартира,44 м²,2,3,Нет,Нет
4-комнатная квартира · 63 м² · 2/2 этаж,24 000 000〒,"Жетысуский р-н, Бокейханова — Бокейханова - Рыскулова",4-комнатная квартира,63 м²,2,2,Нет,Нет
2-комнатная квартира · 76 м² · 5/7 этаж,33 000 000〒,"Жетысуский р-н, мкр Айнабулак-2",2-комнатная квартира,76 м²,5,7,Нет,Нет
3-комнатная квартира · 76.2 м² · 6/6 этаж,35 000 000〒,"Жетысуский р-н, мкр Кокжиек 9",3-комнатная квартира,76.2 м²,6,6,Нет,Да
2-комнатная квартира · 52 м² · 2/8 этаж,30 500 000〒,"Жетысуский р-н, Северное кольцо 29",2-комнатная квартира,52 м²,2,8,Нет,Да
2-комнатная квартира · 65 м² · 9/10 этаж,33 500 000〒,"Жетысуский р-н, мкр Айнабулак-2 — Возле Белеса Палладина Жумабаева",2-комнатная квартира,65 м²,9,10,Нет,Нет
1-комнатная квартира · 38.4 м² · 4/5 этаж,15 500 000〒,"Жетысуский р-н, мкр Кокжиек",1-комнатная квартира,38.4 м²,4,5,Нет,Нет
1-комнатная квартира · 30.5 м² · 1/5 этаж,14 600 000〒,"Жетысуский р-н, мкр Кокжиек",1-комнатная квартира,30.5 м²,1,5,Нет,Нет
2-комнатная квартира · 52.7 м² · 1/5 этаж,34 500 000〒,"Жетысуский р-н, мкр Айнабулак-2 32",2-комнатная квартира,52.7 м²,1,5,Нет,Нет
1-комнатная квартира · 44 м² · 5/5 этаж,18 000 000〒,"Жетысуский р-н, мкр Кокжиек",1-комнатная квартира,44 м²,5,5,Нет,Нет
1-комнатная квартира · 45 м² · 1/9 этаж,25 500 000〒,"Жетысуский р-н, мкр Айнабулак-2",1-комнатная квартира,45 м²,1,9,Нет,Нет
2-комнатная квартира · 88 м² · 8/9 этаж,45 000 000〒,"Жетысуский р-н, Столетова — Рыскулова",2-комнатная квартира,88 м²,8,9,Нет,Нет
